Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
703.0,0.0,90.0,NA,NA,TRUE,FALSE
715.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
728.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
737.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
752.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
778.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
788.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
811.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
821.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
835.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
859.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
872.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
892.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
903.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
930.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
940.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
953.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
975.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
986.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1012.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1023.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1047.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1062.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1071.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1097.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1106.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1129.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1139.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1152.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1177.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1188.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1201.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1223.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1235.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1259.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1268.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1293.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1303.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1328.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1338.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1352.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1378.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1387.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1413.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1422.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1444.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1455.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1478.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1487.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1511.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1520.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1544.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1555.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1568.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1588.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1601.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1626.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1638.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1660.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1671.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1693.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1703.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1728.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1737.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1763.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1772.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1797.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1807.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1821.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1841.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1852.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1875.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1886.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1908.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1918.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1943.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1954.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1977.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
1986.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2013.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2023.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2037.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2059.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2071.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2085.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2106.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2119.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2140.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2154.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2174.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2186.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2209.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2220.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2245.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2254.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2268.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2291.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2304.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2325.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2337.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2362.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2371.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2395.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2405.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2430.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2440.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2453.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2477.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2490.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2509.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2521.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2548.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2556.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2570.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2591.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2603.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2626.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2636.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2660.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2671.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2695.0,0.0,90.0,8.474624,73.515913,FALSE,NA,
2708.0,0.0,90.0,8.474624,73.515913,TRUE,FALSE
2710.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2720.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2743.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2754.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2779.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2789.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2802.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2825.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2836.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2860.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2871.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2893.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2905.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2925.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2936.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2962.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2972.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
2985.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3006.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3031.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3043.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3054.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3076.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3089.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3103.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3125.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3136.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3159.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3169.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3195.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3206.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3218.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3239.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3252.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3275.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3289.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3310.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3323.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3346.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3354.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3368.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3388.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3403.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3423.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3436.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3462.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3471.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3484.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3505.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3518.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3541.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3553.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3576.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3586.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3611.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3622.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3635.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3658.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3672.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3695.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3707.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3718.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
3742.0,0.0,90.0,17.613473,112.161937,FALSE,NA,
