Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
2109.0,-18.373077,141.269867,NA,NA,TRUE,FALSE
2119.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2131.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2141.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2163.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2176.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2199.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2208.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2231.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2242.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2267.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2332.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2332.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2332.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2332.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2349.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2358.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2380.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2393.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2413.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2425.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2449.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2460.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2482.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2494.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2515.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2527.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2548.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2570.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2579.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2602.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2613.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2635.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2645.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2668.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2678.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2701.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2714.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2735.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2744.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2768.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2778.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2802.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2811.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2835.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2845.0,-18.373077,141.269867,12.364724,82.109509,FALSE,NA,
2868.0,-18.373077,133.045685,12.332962,82.003456,FALSE,NA,
2880.0,-15.923309,133.045685,12.332962,82.003456,FALSE,NA,
2902.0,-11.723724,117.297256,12.282556,81.746589,FALSE,NA,
2913.0,-11.723724,117.297256,12.282556,81.746589,FALSE,NA,
2936.0,-6.299255,97.349251,12.242438,81.346319,FALSE,NA,
2944.0,-6.299255,97.349251,12.242438,81.346319,FALSE,NA,
2968.0,-1.224762,75.826401,12.232979,80.870307,FALSE,NA,
2978.0,-1.224762,75.826401,12.232979,80.870307,FALSE,NA,
3000.0,1.574951,65.152466,12.241771,80.635915,FALSE,NA,
3010.0,1.574951,65.152466,12.241771,80.635915,FALSE,NA,
3030.0,3.324776,58.853096,12.251065,80.502426,FALSE,NA,
3054.0,3.324776,55.528427,12.257163,80.434085,FALSE,NA,
3063.0,4.549654,55.528427,12.257163,80.434085,FALSE,NA,
3084.0,4.549654,49.928986,12.269238,80.32304,FALSE,NA,
3094.0,6.474462,49.928986,12.269238,80.32304,FALSE,NA,
3114.0,7.699339,46.954285,12.276546,80.266408,FALSE,NA,
3126.0,7.699339,46.954285,12.276546,80.266408,FALSE,NA,
3148.0,7.699339,44.679512,12.28254,80.224329,FALSE,NA,
3158.0,8.224286,44.679512,12.28254,80.224329,FALSE,NA,
3177.0,9.274181,40.479931,12.294499,80.149673,FALSE,NA,
3197.0,9.274181,40.479931,12.294499,80.149673,FALSE,NA,
3210.0,9.274181,37.330246,12.304202,80.096454,FALSE,NA,
3229.0,10.324077,37.330246,12.304202,80.096454,FALSE,NA,
3251.0,11.198989,33.655613,12.31628,80.037605,FALSE,NA,
3262.0,11.198989,28.58112,12.334223,79.962498,FALSE,NA,
3283.0,12.598849,28.58112,12.334223,79.962498,FALSE,NA,
3293.0,12.598849,21.231853,12.362576,79.867495,FALSE,NA,
3313.0,14.523657,21.231853,12.362576,79.867495,FALSE,NA,
3335.0,16.098499,13.882588,12.393356,79.790222,FALSE,NA,
3345.0,16.098499,13.882588,12.393356,79.790222,FALSE,NA,
3365.0,17.323378,7.758201,12.420529,79.740369,FALSE,NA,
3375.0,17.323378,7.758201,12.420529,79.740369,FALSE,NA,
3396.0,17.673342,3.733603,12.438992,79.715153,FALSE,NA,
3418.0,17.673342,1.633813,12.448782,79.704434,FALSE,NA,
3427.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3448.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3459.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3478.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3497.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3509.0,17.848324,1.633813,12.448782,79.704434,FALSE,NA,
3529.0,16.623446,1.633813,12.448782,79.704434,FALSE,NA,
3541.0,16.623446,3.383638,12.440617,79.713249,FALSE,NA,
3560.0,12.248882,3.383638,12.440617,79.713249,FALSE,NA,
3580.0,12.248882,7.408236,12.422117,79.737936,FALSE,NA,
3592.0,9.099197,7.408236,12.422117,79.737936,FALSE,NA,
3614.0,7.699337,11.957781,12.401762,79.773091,FALSE,NA,
3625.0,7.699337,11.957781,12.401762,79.773091,FALSE,NA,
3646.0,6.299477,16.682308,12.381373,79.817475,FALSE,NA,
3658.0,6.299477,16.682308,12.381373,79.817475,FALSE,NA,
3679.0,4.549652,24.906487,12.348069,79.912876,FALSE,NA,
3699.0,4.549652,34.355541,12.313918,80.048535,FALSE,NA,
3711.0,2.274879,34.355541,12.313918,80.048535,FALSE,NA,
3731.0,2.274879,34.355541,12.313918,80.048535,FALSE,NA,
